id,content
1,Wait--why are you contacting me about agronomic advice?
2,Espereze usted un momento...porque me mensajea con mesajes de agronomia? 
3,give me more information about the fall army worm attacking corn and wheat plants
4,yo yo yo...wre u is?  i is waitn 4 u bru
5,if you want pizza call 555-555-555 and ask for Ron
6,if you want pizza call 555-555-555 and ask for Ron
7,if you want pizza call 555-555-555 and ask for Ron
8,if you want pizza call 555-555-555 and ask for Ron
9,if you want pizza call 555-555-555 and ask for Ron
10,if you want pizza call 555-555-555 and ask for Ron
11,if you want pizza call 555-555-555 and ask for Ron
12,what more bout cron?
13,mas informacion de maiz por favor
14,i would like more info about maize please
